diff_booking_to_cancel,original_selling_amount,day_of_year,how_far_in_advance,length_of_stay,no_of_adults,hotel_brand_code,customer_nationality,charge_option,hotel_chain_code,original_payment_method
-1,114.15,222,7,0,2,859,85,1,548,29
-1,68.74,176,8,0,2,450,82,1,217,5
-1,188.8,96,108,0,5,11,81,2,274,29
-1,322.29,175,70,0,2,263,56,2,540,19
33,123.97,240,33,0,3,353,91,2,563,29
-1,177.41,215,6,0,2,490,56,2,617,29
39,151.19,147,86,0,2,155,67,1,213,19
95,50.63,151,114,0,2,427,92,1,548,19
-1,453.16,181,2,0,2,815,91,2,79,26
-1,97.88,166,65,0,2,809,92,2,430,17
-1,74.17,238,13,0,2,886,98,2,24,29
-1,87.08,248,2,0,4,460,37,2,582,19
-1,578.0,219,39,0,2,761,40,2,393,29
-1,146.74,198,18,0,2,761,86,1,393,19
-1,103.06,262,1,0,2,264,18,2,492,29
18,59.62,198,22,0,2,151,91,2,296,19
-1,726.81,196,15,0,2,638,88,2,289,5
-1,86.34,157,36,0,1,741,91,2,168,16
-1,38.82,229,2,0,2,166,40,2,502,19
-1,702.25,184,41,0,2,884,82,2,2,19
-1,369.85,161,84,0,3,146,37,2,596,19
24,296.25,227,32,0,2,52,37,1,531,19
-1,101.72,194,2,0,2,490,56,2,617,19
4,340.14,169,83,0,2,717,99,1,503,19
-1,614.81,242,24,0,1,449,44,2,544,29
-1,45.58,220,39,0,1,469,44,1,536,29
9,166.68,200,32,0,1,741,44,1,168,29
56,1445.5,206,8,0,1,322,97,2,492,29
-1,255.29,215,5,0,2,418,99,2,15,19
-1,368.5,109,99,0,2,239,82,2,427,29
-1,939.7,258,6,0,1,399,40,2,359,19
158,683.42,72,168,0,2,93,37,1,234,19
42,127.79,164,103,0,1,128,95,2,249,19
-1,225.87,132,95,0,2,78,37,1,110,29
-1,174.63,128,58,0,2,745,91,2,561,29
-1,77.44,251,1,0,2,470,86,2,104,29
-1,104.18,183,2,0,2,753,99,2,273,29
-1,77.82,254,8,0,2,427,40,2,548,19
12,648.0,235,17,0,2,666,95,2,454,19
-1,414.33,193,24,0,6,812,95,2,516,29
21,156.5,168,22,0,1,871,18,2,16,4
-1,151.56,191,1,0,3,777,95,2,580,26
-1,1079.4,194,19,0,2,662,74,1,79,19
50,253.51,180,53,0,2,851,44,1,463,16
-1,155.12,200,2,0,2,470,80,2,104,5
-1,67.22,42,226,0,2,56,99,2,110,19
19,715.24,217,40,0,2,854,99,1,357,29
-1,953.2,81,115,0,4,745,99,1,561,29
-1,307.82,198,71,0,2,4,91,2,509,29
29,282.56,231,29,0,2,62,3,2,268,19
55,611.94,133,56,0,3,487,86,1,586,29
183,942.96,74,184,0,5,178,37,1,176,29
-1,569.37,191,13,0,2,311,86,2,51,19
-1,201.46,205,13,0,2,427,56,2,548,19
-1,237.92,193,1,0,2,143,99,2,421,19
11,199.15,205,26,0,2,272,39,1,51,19
181,144.32,57,213,0,2,782,86,1,338,29
-1,269.61,177,74,0,2,879,18,2,579,29
-1,18.46,256,1,0,2,166,95,2,502,29
-1,66.69,242,1,0,2,888,90,2,312,29
3,33.28,225,6,0,2,709,56,1,87,29
-1,251.78,229,16,0,2,884,82,2,2,29
-1,96.44,227,27,0,2,776,86,2,359,29
-1,188.06,198,46,0,2,78,98,2,110,29
355,861.39,277,357,0,2,741,44,1,168,29
-1,53.97,192,1,0,1,469,18,2,536,27
25,236.01,221,25,0,3,536,44,1,110,29
-1,1010.29,255,12,0,4,337,82,2,2,5
-1,1495.36,250,7,0,2,515,82,2,79,19
-1,82.39,209,1,0,2,768,99,2,424,5
-1,238.8,194,5,0,2,421,81,2,266,19
20,1145.92,248,23,0,5,572,86,1,273,16
-1,47.37,225,4,0,1,335,44,2,176,16
-1,1137.75,233,25,0,2,572,71,2,273,29
-1,106.43,241,26,0,2,51,95,2,200,30
4,38.48,245,11,0,2,705,16,1,317,29
-1,24.91,218,1,0,2,158,82,2,178,19
-1,1097.6,232,2,0,8,152,97,2,614,5
-1,40.21,200,10,0,1,497,86,2,390,19
-1,74.55,178,43,0,2,243,86,2,273,19
-1,17.46,226,3,0,1,854,44,2,357,19
-1,1024.87,256,17,0,2,749,99,2,397,29
-1,307.9,249,10,0,2,244,56,2,294,29
33,543.02,164,37,0,1,4,80,1,509,19
94,412.0,134,95,0,2,50,86,2,614,19
-1,2566.86,183,7,0,2,405,37,2,408,29
-1,311.07,248,1,0,2,864,95,2,51,29
-1,770.95,82,116,0,2,299,99,2,387,29
-1,54.57,247,1,0,2,251,40,2,525,4
-1,115.72,248,18,0,2,250,99,2,544,19
83,504.65,105,139,0,2,121,72,1,618,29
-1,897.84,169,28,0,6,320,18,2,548,26
-1,128.52,210,1,0,2,578,18,2,10,4
-1,148.38,237,11,0,3,854,86,2,357,29
-1,200.87,186,25,0,2,490,92,2,617,19
-1,758.92,190,4,0,2,718,37,2,51,5
-1,104.6,264,5,0,2,251,95,2,525,29
-1,160.28,171,60,0,5,53,56,2,434,29
-1,45.34,259,7,0,2,125,32,2,24,22
-1,533.77,210,29,0,4,124,37,2,182,27
-1,68.46,238,20,0,2,392,95,1,94,16
-1,42.47,262,1,0,2,470,86,2,104,19
-1,30.38,226,35,0,1,816,89,1,46,19
-1,51.78,267,1,0,1,872,86,2,535,29
17,1811.07,200,20,0,2,770,39,1,205,29
32,170.7,178,85,0,2,872,95,1,535,16
-1,158.86,235,19,0,2,889,74,2,51,29
-1,1473.82,251,3,0,2,668,28,2,396,19
-1,394.62,186,8,0,2,864,44,2,51,5
-1,156.57,251,1,0,2,202,82,2,434,19
-1,67.83,206,1,0,2,566,86,2,612,19
-1,1055.55,158,58,0,2,399,86,2,359,29
14,33.62,257,14,0,1,469,44,1,536,29
-1,97.36,232,11,0,4,427,92,2,548,29
-1,217.18,161,75,0,2,10,95,1,531,19
-1,86.0,235,5,0,2,854,99,2,357,29
-1,78.17,194,57,0,2,148,91,2,72,29
16,336.0,221,27,0,2,147,91,1,13,29
-1,115.21,236,1,0,3,50,86,2,614,29
15,140.99,230,15,0,2,671,86,2,341,29
16,356.3,186,16,0,2,761,91,1,393,19
-1,183.94,250,11,0,2,128,37,2,249,29
-1,288.72,151,42,0,2,614,44,1,616,16
-1,103.24,232,30,0,2,572,98,1,273,29
-1,29.79,198,1,0,2,448,92,2,1,29
-1,214.9,177,13,0,2,720,86,2,330,29
-1,271.2,188,1,0,6,454,99,2,411,29
-1,129.0,273,0,0,4,169,91,2,51,29
-1,567.94,142,41,0,2,776,92,2,359,29
13,264.49,165,51,0,2,854,44,1,357,29
36,198.06,193,38,0,9,822,37,1,298,19
-1,187.8,222,11,0,2,470,86,2,104,19
8,1780.0,234,16,0,2,855,39,1,192,29
-1,881.52,69,162,0,2,318,3,1,610,19
10,115.86,191,11,0,2,883,99,1,51,29
-1,222.9,156,31,0,2,726,41,1,92,19
-1,317.64,205,9,0,2,761,91,1,393,19
14,197.4,177,43,0,2,584,92,1,356,29
-1,81.39,238,5,0,2,113,3,2,375,29
-1,252.63,196,41,0,2,392,37,2,94,29
-1,189.49,151,38,0,2,572,86,2,273,29
-1,649.92,255,12,0,2,93,86,1,234,5
4,346.11,218,5,0,4,223,62,1,158,19
-1,933.46,167,46,0,2,501,44,1,543,16
-1,120.72,188,1,0,2,753,99,2,273,19
66,1302.98,165,67,0,6,405,95,1,408,19
97,581.92,99,98,0,2,464,18,1,548,29
-1,31.1,183,2,0,2,49,40,2,115,19
-1,163.36,200,1,0,2,572,42,2,273,19
-1,162.65,237,7,0,2,13,98,2,516,5
46,637.4,134,58,0,7,229,56,1,363,5
-1,19.78,258,2,0,2,502,40,2,518,15
5,196.48,161,26,0,2,741,95,2,168,29
-1,221.08,150,46,0,2,572,86,2,273,19
-1,190.23,193,9,0,2,107,95,2,549,22
8,51.8,207,13,0,1,230,44,1,168,19
-1,112.92,175,10,0,2,328,18,2,123,26
-1,134.21,239,6,0,2,189,92,2,397,16
-1,68.88,56,182,0,1,881,43,2,548,19
16,157.35,199,19,0,1,188,95,1,319,19
-1,400.82,232,2,0,2,864,97,2,51,19
-1,409.65,160,23,0,2,193,86,2,544,19
-1,65.3,195,1,0,2,50,86,2,614,19
133,309.99,52,135,0,2,427,91,1,548,16
-1,35.56,203,10,0,4,77,40,2,121,16
-1,84.22,202,7,0,2,403,86,1,260,29
-1,270.32,198,5,0,2,572,37,2,273,19
-1,49.89,183,1,0,1,286,44,2,176,5
-1,1068.96,153,34,0,2,202,18,2,434,29
-1,53.93,187,3,0,2,460,37,2,582,19
-1,186.93,236,9,0,2,399,18,2,359,4
55,447.3,22,216,0,4,859,40,1,548,29
-1,359.79,88,95,0,2,741,86,1,168,19
-1,167.36,236,4,0,2,42,56,2,409,29
-1,65.52,246,6,0,2,320,56,2,548,19
17,1884.52,197,25,0,2,475,99,2,504,29
-1,52.72,200,2,0,2,206,82,2,605,29
262,251.64,276,319,0,2,772,3,1,548,19
-1,212.7,163,34,0,2,870,44,2,178,16
-1,230.63,221,16,0,3,78,86,2,110,19
-1,139.95,191,56,0,2,872,86,2,535,5
-1,36.59,166,38,0,1,427,92,2,548,19
-1,573.3,71,141,0,3,685,66,2,136,29
4,58.33,205,4,0,1,741,44,2,168,26
-1,183.0,197,23,0,2,475,80,2,504,29
-1,369.76,246,7,0,4,781,56,2,42,20
31,576.66,155,66,0,1,536,86,2,110,29
-1,114.24,163,25,0,2,322,18,2,492,19
42,315.71,139,101,0,2,124,37,1,182,5
